title,description,link,date,polarity,sentiment
British Columbia's Flooding Is Worse Because of Climate Change,"After a summer of deadly heat and uncontrolled wildfires, British Columbia was hit by record rainfalls that forced the evacuation of towns and destroyed highways and rail lines.",https://www.nytimes.com/2021/11/21/canada-flooding-climate-change.html,"Sun, 21 Nov 2021 15:46:22 +0000",-0.2,Negative
"In Hard Times, Afghan Farmers Are Turning to Opium for Security","The war’s intense conclusion and a drought combined to wipe out the famous Afghan pomegranate harvest in Kandahar Province, during a devastating national economic crisis.",https://www.nytimes.com/2021/11/21/world/asia/afghanistan-crops-opium-taliban.html,"Sun, 21 Nov 2021 19:59:33 +0000",-0.2916666666666667,Negative
Chileans Will Vote For President on Sunday ,"The top contenders to lead Chile out of a turbulent era are a leftist 35-year-old former student activist and a 55-year-old far-right former congressman, offering voters a stark choice.",https://www.nytimes.com/2021/11/21/world/americas/chile-election-boric-kast.html,"Sun, 21 Nov 2021 16:03:40 +0000",0.0,Neutral
"Ousted in Coup, Sudan’s Prime Minister Returns via Military Deal","Four weeks after he was detained, Prime Minister Abdalla Hamdok struck a deal to end a bloody standoff in the streets. Protesters rejected the move as a “betrayal.”",https://www.nytimes.com/2021/11/21/world/africa/sudan-coup-abdalla-hamdok.html,"Sun, 21 Nov 2021 20:11:49 +0000",-0.1,Negative
Israeli Is Killed by Palestinian Near Holiest Site in Jerusalem,"The shooting, the first attack by a Palestinian since May to result in the death of a Jewish civilian, could deepen tensions within Israel’s fragile governing coalition.",https://www.nytimes.com/2021/11/21/world/middleeast/shooting-israel-jerusalem.html,"Sun, 21 Nov 2021 19:34:48 +0000",-0.05,Negative
"As Pandemic Evictions Rise, Spaniards Declare ‘War’ on Wall Street Landlords",Protesters in Barcelona are pushing back against foreign investment firms that have bought up thousands of homes over the past decade and are forcing out residents who can’t pay the rent.,https://www.nytimes.com/2021/11/21/world/europe/spain-evictions-cerberus-covid.html,"Sun, 21 Nov 2021 19:00:54 +0000",0.0,Neutral
Myanmar's Notorious Army Is Facing a Morale Crisis,"The number of defectors, while not enough to topple the Tatmadaw, is growing, galvanized by the nationwide anti-coup movement.",https://www.nytimes.com/2021/11/21/world/asia/myanmar-defectors-coup.html,"Sun, 21 Nov 2021 17:52:50 +0000",0.0,Neutral
Peng Shuai Said to Be in Videos From China's State Media,"The editor of a state-run newspaper on Saturday shared clips said to be of the Chinese tennis star on Twitter. But they are unverified, and the head of the WTA called them “insufficient.”",https://www.nytimes.com/2021/11/20/sports/tennis/peng-shuai-video.html,"Sun, 21 Nov 2021 15:25:39 +0000",0.0,Neutral
How India's Farmers Got Narendra Modi to Back Down,"They received foreign and domestic financial support, kept their camps organized and looked for ways to be seen while trying to avoid violence.",https://www.nytimes.com/2021/11/20/world/asia/india-modi-farmer-protests.html,"Sat, 20 Nov 2021 15:54:55 +0000",-0.07777777777777779,Negative
Rolling Deep: South Korean Youth Roam the City in Hair Curlers,"The young South Korean women who wear them say they are not only functional, but also a sign of shifting ideas about beauty and a reflection of the country’s generational divide.",https://www.nytimes.com/2021/11/21/style/korea-hair-curlers-gen-z.html,"Sun, 21 Nov 2021 11:52:07 +0000",0.0,Neutral
